Channel 0,Channel 1,Channel 2,Channel 3,
-0.267630754475249,-0.2382992262719199,-0.2392661997291725,-0.25763869541697204,
-0.3088882886513602,-0.25119220570195466,-0.2557047485024668,-0.28761487259180285,
-0.2673084299894981,-0.23797690178616904,-0.23894387524342164,-0.2579610199027229,
-0.30921061313711107,-0.2505475567304529,-0.2547377750452142,-0.2882595215633046,
-0.26666378101799637,-0.23797690178616904,-0.23894387524342164,-0.2582833443884738,
-0.31049991108011454,-0.2518368546734564,-0.2557047485024668,-0.2882595215633046,
-0.26666378101799637,-0.23797690178616904,-0.2392661997291725,-0.2582833443884738,
-0.31049991108011454,-0.2508698812162038,-0.2550600995309651,-0.2882595215633046,
-0.2663414565322455,-0.2382992262719199,-0.23862155075767078,-0.2579610199027229,
-0.31049991108011454,-0.25119220570195466,-0.2547377750452142,-0.2882595215633046,
-0.2653744830749929,-0.23765457730041817,-0.23862155075767078,-0.25763869541697204,
-0.3121115335088689,-0.25248150364495814,-0.2550600995309651,-0.2879371970775537,
-0.2634405361604877,-0.2363652793574147,-0.23765457730041817,-0.25667172195971943,
-0.3130785069661215,-0.252803828130709,-0.2560270729882177,-0.2889041705348063,
-0.2634405361604877,-0.23604295487166382,-0.2382992262719199,-0.2569940464454703,
-0.3127561824803706,-0.25215917915920727,-0.2560270729882177,-0.28858184604905546,
-0.2631182116747368,-0.2363652793574147,-0.2373322528146673,-0.25667172195971943,
-0.31243385799461976,-0.25248150364495814,-0.2550600995309651,-0.2892264950205572,
-0.2621512382174842,-0.23572063038591295,-0.23700992832891643,-0.2569940464454703,
-0.31340083145187236,-0.2531261526164599,-0.25538242401671596,-0.2879371970775537,
-0.2663414565322455,-0.23765457730041817,-0.23862155075767078,-0.25731637093122117,
-0.3108222355658654,-0.2518368546734564,-0.2557047485024668,-0.2879371970775537,
-0.26601913204649463,-0.2373322528146673,-0.23797690178616904,-0.25731637093122117,
-0.30953293762286194,-0.25119220570195466,-0.2550600995309651,-0.28858184604905546,
-0.26666378101799637,-0.2373322528146673,-0.2382992262719199,-0.2569940464454703,
-0.30953293762286194,-0.2505475567304529,-0.2537708015879616,-0.287292548106052,
-0.26601913204649463,-0.23668760384316556,-0.2382992262719199,-0.25667172195971943,
-0.31049991108011454,-0.25215917915920727,-0.2557047485024668,-0.28858184604905546,
-0.26601913204649463,-0.23700992832891643,-0.2382992262719199,-0.2569940464454703,
-0.31049991108011454,-0.25215917915920727,-0.25538242401671596,-0.2889041705348063,
-0.2653744830749929,-0.23668760384316556,-0.23765457730041817,-0.2569940464454703,
-0.31372315593762323,-0.2537708015879616,-0.25634939747396857,-0.2889041705348063,
-0.26376286064623855,-0.2363652793574147,-0.23797690178616904,-0.2569940464454703,
-0.31243385799461976,-0.252803828130709,-0.2560270729882177,-0.2889041705348063,
-0.265052158589242,-0.23668760384316556,-0.2382992262719199,-0.2569940464454703,
-0.31146688453736715,-0.25215917915920727,-0.2550600995309651,-0.28954881950630806,
-0.2644075096177403,-0.23604295487166382,-0.2382992262719199,-0.25667172195971943,
-0.311789209023118,-0.2531261526164599,-0.2560270729882177,-0.2889041705348063,
-0.26376286064623855,-0.23572063038591295,-0.23797690178616904,-0.2569940464454703,
-0.3121115335088689,-0.252803828130709,-0.2557047485024668,-0.2889041705348063,
-0.26472983410349116,-0.2363652793574147,-0.23894387524342164,-0.2569940464454703,
-0.3108222355658654,-0.25215917915920727,-0.2550600995309651,-0.2889041705348063,
-0.26601913204649463,-0.23765457730041817,-0.23894387524342164,-0.25731637093122117,
-0.3108222355658654,-0.25248150364495814,-0.2557047485024668,-0.28858184604905546,
-0.2634405361604877,-0.23507598141441122,-0.2373322528146673,-0.25634939747396857,
-0.3121115335088689,-0.2537708015879616,-0.2557047485024668,-0.2892264950205572,
-0.2653744830749929,-0.23572063038591295,-0.23797690178616904,-0.25634939747396857,
-0.31372315593762323,-0.2547377750452142,-0.25667172195971943,-0.28987114399205893,
-0.2624735627032351,-0.23507598141441122,-0.23797690178616904,-0.25667172195971943,
-0.3140454804233741,-0.2550600995309651,-0.2557047485024668,-0.2889041705348063,
-0.26376286064623855,-0.23604295487166382,-0.23765457730041817,-0.25634939747396857,
-0.31372315593762323,-0.2547377750452142,-0.25634939747396857,-0.28954881950630806,
-0.2621512382174842,-0.2341090079571586,-0.2373322528146673,-0.25634939747396857,
-0.31340083145187236,-0.25441545055946335,-0.2560270729882177,-0.28954881950630806,
-0.26279588718898594,-0.23443133244290948,-0.2373322528146673,-0.2557047485024668,
-0.3127561824803706,-0.25344847710221075,-0.25538242401671596,-0.2882595215633046,
-0.2634405361604877,-0.23507598141441122,-0.23862155075767078,-0.25634939747396857,
-0.31372315593762323,-0.2547377750452142,-0.25667172195971943,-0.28987114399205893,
-0.2624735627032351,-0.23378668347140774,-0.23765457730041817,-0.25634939747396857,
-0.3150124538806267,-0.25538242401671596,-0.25667172195971943,-0.28954881950630806,
-0.26053961578872986,-0.23346435898565687,-0.23765457730041817,-0.2557047485024668,
-0.3163017518236302,-0.2560270729882177,-0.2569940464454703,-0.2901934684778098,
-0.26086194027448073,-0.23346435898565687,-0.23765457730041817,-0.2560270729882177,
-0.3150124538806267,-0.2557047485024668,-0.25634939747396857,-0.28987114399205893,
-0.26182891373173334,-0.23378668347140774,-0.23765457730041817,-0.25634939747396857,
